logFC,adj_pval,gene_symbol,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,louvain_community,greedy_community,node_id
2.91677231890808,2.31143272138738e-23,RFC4,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,204023_at
4.21117864587999,1.25045605698871e-22,ECT2,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,219787_s_at
3.8738417580798,3.2873829174365797e-22,STIL,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,205339_at
2.79140773076346,3.39366176101634e-22,RRM1,0.9899497487437187,0.0008435009908112155,0.9900497512437811,0.07733329142641193,1,1,201477_s_at
3.73210276824465,4.19380345486175e-21,FBXO5,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,218875_s_at
2.09955398307737,4.9145973475812805e-21,SKA2,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,225686_at
2.35962531352743,1.32657328227596e-20,SNRPD1,0.9949748743718593,0.0009255845656448452,0.995,0.0775083831403123,2,0,202690_s_at
2.47232376230901,1.7692570826778102e-20,RFC3,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,204127_at
2.27992973944005,7.61577179215979e-20,RMI1,0.9949748743718593,0.0009643443431016057,0.995,0.0773826295464558,1,0,218979_at
3.84408149407568,1.20027913237138e-19,CENPF,0.9949748743718593,0.0009259255264028625,0.995,0.07750977861324457,1,0,209172_s_at
3.70712449200636,1.20027913237138e-19,TMSB15B///TMSB15A,0.9748743718592965,0.0007663034828184529,0.9754901960784313,0.07638386388526604,1,0,214051_at
2.88727975168821,1.20586748738019e-19,DSCC1,0.9346733668341709,0.0006615751011588814,0.9386792452830188,0.07348108283499172,0,0,219000_s_at
3.76774968036356,1.9740610147766998e-19,DEPDC1,0.9698492462311558,0.0008378864726417697,0.9707317073170731,0.07579752095030685,0,0,235545_at
2.7932271845121,1.9740610147766998e-19,FANCL,0.9698492462311558,0.000815661774777701,0.9707317073170731,0.07582632879688476,1,0,218397_at
2.54952115259686,1.9740610147766998e-19,ITGB3BP,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,205176_s_at
4.68265293950759,1.9740610147766998e-19,RAD51AP1,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,204146_at
2.29736436837247,3.34243878956036e-19,UPF3B,0.9949748743718593,0.0009217359680498337,0.995,0.07751393204682465,1,0,218757_s_at
5.4651863136484,3.34243878956036e-19,NUF2,0.9849246231155779,0.0008136202010457388,0.9851485148514851,0.07705193785891626,0,0,223381_at
2.4475358043087,3.93533738660562e-19,DNA2,1.0,0.0009809450653253014,1.0,0.07773674669507549,2,0,213647_at
1.86376436390421,7.719534602132771e-19,SNRPE,0.9748743718592965,0.0008018966210707832,0.9754901960784313,0.07628437437166143,1,1,203316_s_at
2.76181723212254,8.05699150004223e-19,CKAP2,0.9849246231155779,0.0008909997385609324,0.9851485148514851,0.07683856545712422,0,1,218252_at
2.94654713366086,9.61814452405919e-19,CENPL,0.9798994974874372,0.0008343154755106106,0.9802955665024631,0.07662234355244851,2,1,232065_x_at
2.25612178427881,1.03537144973051e-18,USP1,0.9597989949748744,0.0007267240832071336,0.961352657004831,0.07531033405554069,1,0,202413_s_at
3.97586600734079,1.06755316283414e-18,MAD2L1,0.9949748743718593,0.0009164636319378491,0.995,0.07752704333249849,2,0,203362_s_at
3.37499138414462,1.0959043056193399e-18,NCAPG,0.9949748743718593,0.0009357614055565584,0.995,0.07748711887816308,1,0,218662_s_at
2.31762875616442,1.4237591538724299e-18,ALMS1,0.9748743718592965,0.0008102202541773113,0.9754901960784313,0.07625964262430011,1,0,214221_at
2.35679621194775,1.6235589589508299e-18,TDG,0.9899497487437187,0.0008999724125027977,0.9900497512437811,0.07720171377805086,2,1,203743_s_at
3.48024945999189,1.81430847443711e-18,HELLS,0.9798994974874372,0.0007544873797014755,0.9802955665024631,0.0768169187015735,1,1,223556_at
3.32137572448592,1.81430847443711e-18,ORC6,1.0,0.0009809450653253014,1.0,0.0777367466950755,2,0,219105_x_at
2.28294991691652,2.7548856494499597e-18,ZWILCH,0.9899497487437187,0.000880400905876102,0.9900497512437811,0.07725875532339989,1,0,222606_at
1.80682288560223,2.8433720794295098e-18,TAF2,0.9949748743718593,0.0009139122264623667,0.995,0.07753144940819127,1,0,209523_at
2.18115762442307,2.8433720794295098e-18,RFC5,0.9949748743718593,0.0009164636319378491,0.995,0.07752704333249849,2,0,203209_at
2.61829967644385,4.98838591503012e-18,BRCA1,0.9849246231155779,0.0008030954416037578,0.9851485148514851,0.07707170200644839,1,1,204531_s_at
1.95265675713334,5.67600386898473e-18,NDC1,0.9949748743718593,0.0009255845656448452,0.995,0.0775083831403123,2,0,234672_s_at
3.88647657688697,6.49112830513015e-18,CCNE2,0.8743718592964824,0.0004819773323357359,0.8883928571428571,0.06923406845405364,0,0,205034_at
4.37002752161417,6.49112830513015e-18,KIF14,0.9849246231155779,0.00082061792384603,0.9851485148514851,0.07703709035777177,2,1,206364_at
3.79627799674591,6.63908842911141e-18,ZNF367,0.9899497487437187,0.0009151645975016975,0.9900497512437811,0.07715955524668285,2,0,229551_x_at
2.23838736376593,7.07499762904887e-18,G2E3,0.9949748743718593,0.0009689151819911179,0.995,0.07736778409900243,1,0,223257_at
3.20660150577394,7.29372027228173e-18,WDHD1,0.9698492462311558,0.0006403370695155124,0.9707317073170731,0.0763984482405428,0,1,216228_s_at
2.35838423791004,8.252280935516669e-18,MIS18A,0.9698492462311558,0.0007319323910556404,0.9707317073170731,0.07612292370509811,0,0,228597_at
