weight,correlation,abs_correlation,source,target
1,0.9167452075671475,0.9167452075671475,204023_at,219787_s_at
1,0.9263273163489069,0.9263273163489069,204023_at,205339_at
1,0.9127602880296133,0.9127602880296133,204023_at,201477_s_at
1,0.9124512298907684,0.9124512298907684,204023_at,218875_s_at
1,0.9206293814851607,0.9206293814851607,204023_at,225686_at
1,0.9178212641241057,0.9178212641241057,204023_at,202690_s_at
1,0.894439038347798,0.894439038347798,204023_at,204127_at
1,0.8939881378795198,0.8939881378795198,204023_at,218979_at
1,0.8865459355439473,0.8865459355439473,204023_at,209172_s_at
1,0.8805767273639791,0.8805767273639791,204023_at,214051_at
1,0.8560094157405981,0.8560094157405981,204023_at,219000_s_at
1,0.9118823802810969,0.9118823802810969,204023_at,235545_at
1,0.8612468776613407,0.8612468776613407,204023_at,218397_at
1,0.9020575182524391,0.9020575182524391,204023_at,205176_s_at
1,0.914073866069458,0.914073866069458,204023_at,204146_at
1,0.8736439355049782,0.8736439355049782,204023_at,218757_s_at
1,0.9130544661579119,0.9130544661579119,204023_at,223381_at
1,0.9165950797717809,0.9165950797717809,204023_at,213647_at
1,0.8744751097318464,0.8744751097318464,204023_at,203316_s_at
1,0.8963319933005782,0.8963319933005782,204023_at,218252_at
1,0.9143987659571232,0.9143987659571232,204023_at,232065_x_at
1,0.8923739062469769,0.8923739062469769,204023_at,202413_s_at
1,0.9162846492462221,0.9162846492462221,204023_at,203362_s_at
1,0.915937857687697,0.915937857687697,204023_at,218662_s_at
1,0.872489859400046,0.872489859400046,204023_at,214221_at
1,0.8548965037709388,0.8548965037709388,204023_at,203743_s_at
1,0.8896100803102193,0.8896100803102193,204023_at,223556_at
1,0.9226779984497685,0.9226779984497685,204023_at,219105_x_at
1,0.9257221666071241,0.9257221666071241,204023_at,222606_at
1,0.8771541445426809,0.8771541445426809,204023_at,209523_at
1,0.9120258514541734,0.9120258514541734,204023_at,203209_at
1,0.923449064794386,0.923449064794386,204023_at,204531_s_at
1,0.9023046322419075,0.9023046322419075,204023_at,234672_s_at
1,0.898440433454718,0.898440433454718,204023_at,205034_at
1,0.8928044170081338,0.8928044170081338,204023_at,206364_at
1,0.8900868597747671,0.8900868597747671,204023_at,229551_x_at
1,0.881887945292214,0.881887945292214,204023_at,223257_at
1,0.8910900027564831,0.8910900027564831,204023_at,216228_s_at
1,0.9146759597781532,0.9146759597781532,204023_at,228597_at
1,0.8541552700341462,0.8541552700341462,204023_at,201416_at
1,0.9227477901943846,0.9227477901943846,204023_at,204026_s_at
1,0.8397300961516566,0.8397300961516566,204023_at,1555501_s_at
1,0.890165798403304,0.890165798403304,204023_at,225297_at
1,0.8181263015130658,0.8181263015130658,204023_at,226446_at
1,0.8313064608934545,0.8313064608934545,204023_at,231784_s_at
1,0.9010657559921201,0.9010657559921201,204023_at,207828_s_at
1,0.8423785128906989,0.8423785128906989,204023_at,208838_at
1,0.8587977043780158,0.8587977043780158,204023_at,228401_at
1,0.8194036983040779,0.8194036983040779,204023_at,214224_s_at
1,0.8240703336462781,0.8240703336462781,204023_at,223491_at
1,0.8969237884176214,0.8969237884176214,204023_at,201664_at
1,0.8998790870545612,0.8998790870545612,204023_at,213007_at
1,0.9118759922221799,0.9118759922221799,204023_at,212621_at
1,0.9003220677383549,0.9003220677383549,204023_at,227350_at
1,0.8609680149743018,0.8609680149743018,204023_at,221970_s_at
1,0.8660673188865775,0.8660673188865775,204023_at,200037_s_at
1,0.8696676759969763,0.8696676759969763,204023_at,203625_x_at
1,0.8746817757008943,0.8746817757008943,204023_at,209507_at
1,0.9144167026726381,0.9144167026726381,204023_at,228069_at
1,0.8634812731047402,0.8634812731047402,204023_at,204510_at
1,0.8845266347129315,0.8845266347129315,204023_at,204162_at
1,0.8924984621972322,0.8924984621972322,204023_at,221677_s_at
1,0.8570180465925824,0.8570180465925824,204023_at,214804_at
1,0.8805587474287678,0.8805587474287678,204023_at,203432_at
1,0.8605964138225036,0.8605964138225036,204023_at,202276_at
1,-0.7997685363234636,0.7997685363234636,204023_at,200784_s_at
1,0.8868258070087751,0.8868258070087751,204023_at,204822_at
1,0.850204164913612,0.850204164913612,204023_at,219294_at
1,0.9050737661455939,0.9050737661455939,204023_at,222077_s_at
1,0.8326972316402574,0.8326972316402574,204023_at,238075_at
1,0.8665627121164915,0.8665627121164915,204023_at,218350_s_at
1,0.8477716574774162,0.8477716574774162,204023_at,205644_s_at
1,0.8965934043802504,0.8965934043802504,204023_at,230165_at
1,0.846134431205544,0.846134431205544,204023_at,205361_s_at
1,0.9028116186427435,0.9028116186427435,204023_at,206102_at
1,-0.7805922768558546,0.7805922768558546,204023_at,211323_s_at
1,0.8625644702910225,0.8625644702910225,204023_at,226473_at
